Breathless,Jean-Luc Godard,90,3/16/1960
Brewster's Millions,Walter Hill,97,5/22/1985
Bride Flight,Ben Sombogaart,130,10/15/2008
Bridegroom,Linda Bloodworth-Thomason,79,
Bridesmaids,Paul Feig,125,4/28/2011
Bridge to Terabithia,Gabor Csupo,96,2/15/2007
Bridget Jones: The Edge of Reason,Beeban Kidron,108,11/8/2004
Bridget Jones's Diary,Sharon Maguire,97,36985
Brief Encounter,David Lean,86,11/26/1945
Bright Star,Jane Campion,119,
Brightness,Souleymane CissÃ©,105,9/13/1987
Bring It On,Peyton Reed,98,8/22/2000
Bring Me the Head of Alfredo Garcia,Sam Peckinpah,112,8/14/1974
Bringing Up Baby,Howard Hawks,102,2/16/1938
Broadcast News,James L. Brooks,133,12/16/1987
Brokeback Mountain,Ang Lee,134,9/2/2005
Broken Blossoms or The Yellow Man and the Girl,D.W. Griffith,90,5/13/1919
Bronson,Nicolas Winding Refn,92,2008-10
Brother Bear,Aaron Blaise  Robert Walker,85,10/20/2003
Brotherhood of the Wolf,Christophe Gans,142,1/31/2001
Brothers,Susanne Bier,117,8/27/2004
Brothers,Jim Sheridan,105,12/3/2009
Bruce Almighty,Tom Shadyac,101,5/23/2003
Bruce Lee: A Warrior's Journey,John Little  Bruce Lee,100,10/22/2000
Bubba Ho-Tep,Don Coscarelli,92,6/9/2002
Buddha Collapsed Out Of Shame,Hana Makhmalbaf,81,
Buddha Mountain,Yu Li,105,
Buffalo '66,Vincent Gallo,110,1/21/1998
Buffalo Soldiers,Gregor Jordan,98,9/8/2001
Bull Durham,Ron Shelton,108,6/15/1988
Bulletproof Monk,Paul Hunter,104,4/16/2003
Bunny and the Bull,Paul King,101,9/16/2009
Burn After Reading,Ethan Coen  Joel Coen,96,8/27/2008
Bushwhacked,Greg Beeman,90,8/4/1995
But I'm a Cheerleader,Jamie Babbit,85,9/12/1999
Butch Cassidy and the Sundance Kid,George Roy Hill,110,9/23/1969
By the People: The Election of Barack Obama,Amy Rice  Alicia Sams,116,8/7/2009
Cabaret,Bob Fosse,124,2/13/1972
CachÃ© (Hidden),Michael Haneke,117,5/14/2005
Caddyshack,Harold Ramis,98,7/25/1980
Cairo Time,Ruba Nadda,90,
Cal,Pat O'Connor,102,8/24/1984
Calendar Girls,Nigel Cole,108,8/9/2003
Calle 54,Fernando Trueba,105,9/8/2000
Camille,George Cukor,109,12/12/1936
Camp,Todd Graff,114,1/21/2003
Can't Hardly Wait,Harry Elfont  Deborah Kaplan,100,6/12/1998
Capitalism: A Love Story,Michael Moore,127,9/6/2009
Capote,Bennett Miller,114,9/2/2005
Captain Blood,Michael Curtiz,119,12/19/1935
Captains Courageous,Victor Fleming,115,5/11/1937
Caramel,Nadine Labaki,95,
Caravaggio,Derek Jarman,93,1986-02
Carmen Jones,Otto Preminger,105,10/5/1954
Caro diario,Nanni Moretti,100,11/12/1993
Carol Channing: Larger Than Life,Dori Berinstein,87,1/20/2012
Carrie,Brian De Palma,98,11/3/1976
Carrington,Christopher Hampton,121,5/2/1995
Cars,John Lasseter  Joe Ranft,117,3/14/2006
Casablanca,Michael Curtiz,102,11/26/1942
Case 39,Christian Alvart,109,8/13/2009
Casino,Martin Scorsese,178,11/14/1995
Casino Jack,George Hickenlooper,108,9/16/2010
Cast Away,Robert Zemeckis,143,12/7/2000
Castle in the Sky,Hayao Miyazaki,124,8/2/1986
Cat People,Jacques Tourneur,73,12/6/1942
Catch a Fire,Phillip Noyce,101,9/2/2006
Catch Me If You Can,Steven Spielberg,141,12/16/2002
Catfish,Henry Joost  Ariel Schulman,87,1/22/2010
Catwoman,Pitof,104,7/19/2004
Cave of Forgotten Dreams,Werner Herzog,90,
Ceddo,Ousmane Sembene,120,1977-06
Celine and Julie Go Boating,Jacques Rivette,193,9/18/1974
Cellular,David R. Ellis,94,9/10/2004
Center Stage,Stanley Kwan,126,2/20/1992
Certified Copy,Abbas Kiarostami,106,5/18/2010
Chained Heat,Paul Nicholas,98,
Changeling,Clint Eastwood,141,5/20/2008
Changing Lanes,Roger Michell,98,4/7/2002
Charade,Stanley Donen,113,12/5/1963
Chariots of Fire,Hugh Hudson,124,3/30/1981
Charles Bradley: Soul of America,Poull Brien,75,3/9/2012
Charlie and the Chocolate Factory,Tim Burton,115,7/10/2005
Charlie Wilson's War,Mike Nichols,102,12/10/2007
Charlie's Angels,McG,98,
Charlie's Angels: Full Throttle,McG,106,6/18/2003
Charly,Ralph Nelson,103,1968-06
Che: Part One,Steven Soderbergh,134,5/21/2008
Che: Part Two,Steven Soderbergh,135,5/21/2008
Cheaper by the Dozen,Shawn Levy,98,12/25/2003
Chicken Run,Peter Lord  Nick Park,84,6/21/2000
Children of a Lesser God,Randa Haines,119,9/13/1986
Children of Men,Alfonso CuarÃ³n,109,9/3/2006
Children of Paradise,Marcel Carné,190,3/9/1945
Chimes at Midnight,Orson Welles,113,12/22/1965
Chimpanzee,Alastair Fothergill  Mark Linfield,78,3/31/2012
Chin gei bin,Dante Lam  Donnie Yen,107,3/8/2003
Chinatown,Roman Polanski,130,6/20/1974
Chitty Chitty Bang Bang,Ken Hughes,144,12/16/1968
Chocolat,Claire Denis,105,
Chocolat,Lasse HallstrÃ¶m,121,12/15/2000
Christmas Vacation,Jeremiah Chechik,97,11/30/1989
Christopher Strong,Dorothy Arzner,78,
Chronicle of a Summer,Edgar Morin  Jean Rouch,85,10/20/1961
Chungking Express,Kar Wai Wong,98,1994-08
Ciao  Professore!,Lina Wertmüller,100,
Cinderella Man,Ron Howard,144,5/23/2005
Cinema Paradiso,Giuseppe Tornatore,155,9/29/1988
Citizen Kane,Orson Welles,119,5/1/1941
City by the Sea,Michael Caton-Jones,108,9/6/2002
City Island,Raymond De Felitta,104,3/23/2009
City Lights,Charlie Chaplin,87,1/30/1931
City of God,Fernando Meirelles  KÃ¡tia Lund,130,5/18/2002
Clash of the Titans,Desmond Davis,118,6/12/1981
Classic Albums: Elvis Presley,Jeremy Marre,60,3/12/2001
Classic Albums: The Band - The Band,Bob Smeaton,75,9/24/1997
Cleo from 5 to 7,Agnès Varda,90,4/11/1962
Clerks.,Kevin Smith,92,1994-01
Cliffhanger,Renny Harlin,112,5/20/1993
Cloak & Dagger,Richard Franklin,101,7/13/1984
Close Encounters of the Third Kind,Steven Spielberg,137,11/15/1977
Close-Up,Abbas Kiarostami,98,1990-09
Closely Watched Trains,JirÃ­ Menzel,93,11/18/1966
Closer,Mike Nichols,104,12/3/2004
Cloud Atlas,Tom Tykwer  Andy Wachowski,172,9/8/2012
Cloudy with a Chance of Meatballs,Phil Lord  Chris Miller,90,9/16/2009
Cloverfield,Matt Reeves,85,1/16/2008
Clueless,Amy Heckerling,97,7/19/1995
Coach Carter,Thomas Carter,136,1/13/2005
Coco Chanel & Igor Stravinsky,Jan Kounen,119,5/24/2009
Code Unknown: Incomplete Tales of Several Journeys,Michael Haneke,118,5/19/2000
Cold Mountain,Anthony Minghella,154,12/25/2003
Collateral,Michael Mann,120,8/5/2004
Collision: Christopher Hitchens vs. Douglas Wilson,Darren Doane,90,10/27/2009
Come and See,E. Klimov,136,1985-07
Come Drink with Me,King Chuan,91,4/7/1966
Conan O'Brien Can't Stop,Rodman Flender,89,3/13/2011
Conspiracy Theory,Richard Donner,135,8/7/1997
Constantine,Francis Lawrence,121,2/8/2005
Contact,Robert Zemeckis,150,7/11/1997
Contempt (Le Mépris),Jean-Luc Godard,103,10/29/1963
Control,Anton Corbijn,122,5/17/2007
Control Room,Jehane Noujaim,84,2004-01
Conviction,Tony Goldwyn,107,9/11/2010
Cool Hand Luke,Stuart Rosenberg,126,11/1/1967
Copycat,Jon Amiel,123,10/27/1995
Copying Beethoven,Agnieszka Holland,104,7/30/2006
Corrina  Corrina,Jessie Nelson,115,8/12/1994
Cosmic Voyage,Bayley Silleck,36,8/9/1996
CQ,Roman Coppola,88,5/12/2001
Craig's Wife,Dorothy Arzner,73,
Craigslist Joe,Joseph Garner,90,8/2/2012
Crank,Taylor Neveldine,88,8/31/2006
Crash,Paul Haggis,112,9/10/2004
Crazy Heart,Scott Cooper,112,12/6/2009
Creation,Jon Amiel,108,9/10/2009
Cria Cuervos,Carlos Saura,110,1/26/1976
Cries & Whispers,Ingmar Bergman,91,12/21/1972
Crimes and Misdemeanors,Woody Allen,104,10/13/1989
Crocodile Dundee,Peter Faiman,97,4/24/1986
Crocodile Dundee II,John Cornell,108,5/20/1988
Crocodile Dundee in Los Angeles,Simon Wincer,92,4/12/2001
Crossfire,Gary S. Lipsky  Joe Zimmerman,90,1998-09
Crossroads,Walter Hill,99,3/14/1986
Crouching Tiger  Hidden Dragon,Ang Lee,120,5/16/2000
Crude,Joe Berlinger,105,1/18/2009
Cruising,William Friedkin,102,
Crumb,Terry Zwigoff,119,9/10/1994
Curse of the Pink Panther,Blake Edwards,109,8/12/1983
Cyclo,Tran Anh Hung,123,9/15/1995
Cyrus,Jay Duplass  Mark Duplass,91,1/23/2010
Daft Punk's Electroma,Thomas Bangalter  Guy-Manuel De Homem-Christo,74,5/21/2006
Daisies,Věra Chytilová,74,12/30/1966
Dale,Rory Karpf  Mike Viney,,2007-02
Dam Street,Yu Li,93,
Dance  Girl  Dance,Dorothy Arzner,90,8/30/1940
Dancer in the Dark,Lars von Trier,140,5/17/2000
Dances with Wolves,Kevin Costner,181,10/19/1990
Dangerous Liaisons,Stephen Frears,119,12/16/1988
Danzón ,María Novaro,120,
Darfur Now,Ted Braun,98,9/9/2007
Dark City,Alex Proyas,100,2/27/1998
Dark Days,Marc Singer,94,1/27/2000
Dark Water,Hideo Nakata,101,1/19/2002
Darkness Falls,Jonathan Liebesman,86,1/24/2003
Das Boot,Wolfgang Petersen,149,9/17/1981
David Holzman's Diary,Jim McBride,74,1967
Dawn of the Dead,George A. Romero,127,9/2/1978
Day for Night,FranÃ§ois Truffaut,115,5/14/1973
Day of the Fight,Stanley Kubrick,16,4/26/1951
Daybreak,Marcel Carné,93,6/9/1939
Days of Being Wild,Kar Wai Wong,94,12/15/1990
Days of Heaven,Terrence Malick,94,9/13/1978
Dazed and Confused,Richard Linklater,102,1993-08
Dead Man,Jim Jarmusch,121,5/26/1995
Dead Ringers,David Cronenberg,116,
Dead Wrong: How Psychiatric Drugs Can Kill Your Child,Randall Stith,87,2010
Dear Zachary: A Letter to a Son About His Father,Kurt Kuenne,95,2008-01
Death at a Funeral,Frank Oz,90,3/2/2007
